Scientific name,Name status,Group,Source database
"Amastigia  solida    (Kluge, 1914)","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  texta    (Lamarck, 1816)","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  tricervicornis    Gluhak, Lewis & Popijak, 2007","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  varians    Liu, 1984","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  vibraculifera    Hastings, 1943","accepted name","Animalia","WoRMS Bryozoa"
"Amastigia  xishaensis    Liu, 1984","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  acervata    Lamouroux, 1824","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  aegyptiana    d'Hondt, 1983","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  aggregata    (O'Donoghue & O'Donoghue, 1926)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  alternata    Lamouroux, 1816","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  antarctica    (Winston & Hayward, 1994)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  arctica    (Busk, 1880)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  biseriata    Krauss, 1837","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  brasiliensis    Busk, 1886","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  brongniartii    Kirkpatrick, 1888","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  citrina    (Hincks, 1877)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  composita    (Kluge, 1955)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  connexa    Busk, 1886","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  convoluta    (Lamarck, 1816)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  cornuta    (Lamarck, 1816)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  crispa    (Lamarck, 1816)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  delicatula    Souto, Fernández-Pulpeiro & Reverter-Gil, 2010","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  dhondti    Waeschenbach, Vieira, Souto-Derungs, Nascimento &","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  distans    Busk, 1886","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  francorum    (Jullien, 1888)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  gracilis    (Leidy, 1855)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  gracillima    (Hincks, 1877)","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  guernseii    Chimonides, 1987","accepted name","Animalia","WoRMS Bryozoa"
"Amathia  hahni    (Jullien, 1888)","accepted name","Animalia","WoRMS Bryozoa"
